HourUTC,HourDK,PriceArea,TotalLoad,Biomass,FossilGas,FossilHardCoal,FossilOil,HydroPower,OtherRenewable,SolarPower,Waste,OnshoreWindPower,OffshoreWindPower,ExchangeContinent,ExchangeGreatBelt,ExchangeNordicCountries
2022-01-01T00:00:00+00:00,2022-01-01T01:00:00,DK1,1974.42,160.06,131.03,176.59,11.23,1,2.19,0.72,93.26,967.19,1020.89,-13,363,-710
2022-01-01T00:00:00+00:00,2022-01-01T01:00:00,DK2,1339.8,308.06,83.89,154.47,25.99,,,0,75.69,340.51,854.24,592,-363,-699
2022-01-01T01:00:00+00:00,2022-01-01T02:00:00,DK1,1934.49,250.69,128.56,176.72,11.02,1,2.17,0.72,93.12,859.31,1025.11,12,298,-717
2022-01-01T01:00:00+00:00,2022-01-01T02:00:00,DK2,1283.86,260.78,83.75,154.47,25.96,,,0,75.79,330.13,878.6,52,-298,-244
2022-01-01T02:00:00+00:00,2022-01-01T03:00:00,DK1,1882.11,232.38,128.94,177.87,11.2,1,2.19,0.72,93.37,770.51,939.33,218,277,-817
2022-01-01T02:00:00+00:00,2022-01-01T03:00:00,DK2,1243.84,286.49,83.9,154.69,26.02,,,0,75.44,280.17,799.02,159,-277,-303
2022-01-01T03:00:00+00:00,2022-01-01T04:00:00,DK1,1850.01,245.13,130.31,177.99,11.21,1,2.19,0.72,93.39,778.71,792.27,458,201,-808
2022-01-01T03:00:00+00:00,2022-01-01T04:00:00,DK2,1229.96,312.82,84,154.47,26.04,,,0,75.71,269.43,643.75,574,-201,-671
2022-01-01T04:00:00+00:00,2022-01-01T05:00:00,DK1,1843.53,235.16,130.57,177.33,11.13,1,2.18,0.72,93.48,609.95,880.24,514,386,-945
2022-01-01T04:00:00+00:00,2022-01-01T05:00:00,DK2,1200.01,232.69,84.53,154.64,26.2,,,0,75.63,268.01,624.33,372,-386,-217
2022-01-01T05:00:00+00:00,2022-01-01T06:00:00,DK1,1890.98,198.58,138.89,177.17,11.18,1.39,2.19,0.72,92.73,542.75,761.95,936,252,-999
2022-01-01T05:00:00+00:00,2022-01-01T06:00:00,DK2,1239.15,306.15,84.18,154.25,26.1,,,0,75.32,284.43,628.57,462,-252,-497
2022-01-01T06:00:00+00:00,2022-01-01T07:00:00,DK1,1965.07,216.33,141.71,177.53,10.97,1.4,2.17,0.71,89.79,357.15,756.07,1075,177,-891
2022-01-01T06:00:00+00:00,2022-01-01T07:00:00,DK2,1273.19,337.87,84.14,154.17,26.1,,,0,74.86,259.64,650.84,598,-177,-702
2022-01-01T07:00:00+00:00,2022-01-01T08:00:00,DK1,2074.23,281.05,147.68,265.84,10.98,1.4,2.1,0.76,96.15,277.6,445.07,1344,221,-881
2022-01-01T07:00:00+00:00,2022-01-01T08:00:00,DK2,1303.34,438.85,84.31,155.38,28.76,,,0.04,74.2,196.75,652.59,404,-221,-474
2022-01-01T08:00:00+00:00,2022-01-01T09:00:00,DK1,2169.43,335.38,158.13,381.62,11.46,1.4,2.16,8.72,95.35,173.52,156.68,1349,505,-867
2022-01-01T08:00:00+00:00,2022-01-01T09:00:00,DK2,1367.56,378.35,88.36,161.93,36.3,,,3.2,75.96,172.44,577.81,322,-505,90
2022-01-01T09:00:00+00:00,2022-01-01T10:00:00,DK1,2259.8,317.08,154.99,413.85,12.11,1.41,2.21,32.28,95.77,106.53,195.52,1295,589,-862
2022-01-01T09:00:00+00:00,2022-01-01T10:00:00,DK2,1454.03,357.56,88.61,162.15,36.63,,,12.96,69.33,125.56,507.97,-48,-589,763
2022-01-01T10:00:00+00:00,2022-01-01T11:00:00,DK1,2318.99,204.05,153.29,406.61,12.17,1.41,2.21,50.54,94.69,126.11,211.79,1465,536,-862
