HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2018-01-01T00:00:00+00:00,2018-01-01T01:00:00,DE,-223.272551,-29.99
2018-01-01T00:00:00+00:00,2018-01-01T01:00:00,DK1,196.74,26.43
2018-01-01T00:00:00+00:00,2018-01-01T01:00:00,DK2,196.74,26.43
2018-01-01T00:00:00+00:00,2018-01-01T01:00:00,NO2,196.74,26.43
2018-01-01T00:00:00+00:00,2018-01-01T01:00:00,SE3,196.74,26.43
2018-01-01T00:00:00+00:00,2018-01-01T01:00:00,SE4,196.74,26.43
2018-01-01T00:00:00+00:00,2018-01-01T01:00:00,SYSTEM,196.74,26.43
2018-01-01T01:00:00+00:00,2018-01-01T02:00:00,DE,-421.753585,-56.65
2018-01-01T01:00:00+00:00,2018-01-01T02:00:00,DK1,194.29,26.1
2018-01-01T01:00:00+00:00,2018-01-01T02:00:00,DK2,194.29,26.1
2018-01-01T01:00:00+00:00,2018-01-01T02:00:00,NO2,194.29,26.1
2018-01-01T01:00:00+00:00,2018-01-01T02:00:00,SE3,194.29,26.1
2018-01-01T01:00:00+00:00,2018-01-01T02:00:00,SE4,194.29,26.1
2018-01-01T01:00:00+00:00,2018-01-01T02:00:00,SYSTEM,194.21,26.09
2018-01-01T02:00:00+00:00,2018-01-01T03:00:00,DE,-470.070986,-63.14
2018-01-01T02:00:00+00:00,2018-01-01T03:00:00,DK1,183.86,24.7
2018-01-01T02:00:00+00:00,2018-01-01T03:00:00,DK2,183.86,24.7
2018-01-01T02:00:00+00:00,2018-01-01T03:00:00,NO2,183.86,24.7
2018-01-01T02:00:00+00:00,2018-01-01T03:00:00,SE3,183.86,24.7
2018-01-01T02:00:00+00:00,2018-01-01T03:00:00,SE4,183.86,24.7
2018-01-01T02:00:00+00:00,2018-01-01T03:00:00,SYSTEM,183.34,24.63
2018-01-01T03:00:00+00:00,2018-01-01T04:00:00,DE,-481.089438,-64.62
2018-01-01T03:00:00+00:00,2018-01-01T04:00:00,DK1,184.16,24.74
2018-01-01T03:00:00+00:00,2018-01-01T04:00:00,DK2,184.16,24.74
2018-01-01T03:00:00+00:00,2018-01-01T04:00:00,NO2,184.16,24.74
2018-01-01T03:00:00+00:00,2018-01-01T04:00:00,SE3,184.16,24.74
2018-01-01T03:00:00+00:00,2018-01-01T04:00:00,SE4,184.16,24.74
2018-01-01T03:00:00+00:00,2018-01-01T04:00:00,SYSTEM,183.64,24.67
2018-01-01T04:00:00+00:00,2018-01-01T05:00:00,DE,-498.8083,-67
2018-01-01T04:00:00+00:00,2018-01-01T05:00:00,DK1,134.06,18.01
2018-01-01T04:00:00+00:00,2018-01-01T05:00:00,DK2,134.06,18.01
2018-01-01T04:00:00+00:00,2018-01-01T05:00:00,NO2,184.31,24.76
2018-01-01T04:00:00+00:00,2018-01-01T05:00:00,SE3,134.06,18.01
2018-01-01T04:00:00+00:00,2018-01-01T05:00:00,SE4,134.06,18.01
2018-01-01T04:00:00+00:00,2018-01-01T05:00:00,SYSTEM,180.44,24.24
2018-01-01T05:00:00+00:00,2018-01-01T06:00:00,DE,-540.053046,-72.54
2018-01-01T05:00:00+00:00,2018-01-01T06:00:00,DK1,75.78,10.18
2018-01-01T05:00:00+00:00,2018-01-01T06:00:00,DK2,75.78,10.18
2018-01-01T05:00:00+00:00,2018-01-01T06:00:00,NO2,185.95,24.98
2018-01-01T05:00:00+00:00,2018-01-01T06:00:00,SE3,132.35,17.78
2018-01-01T05:00:00+00:00,2018-01-01T06:00:00,SE4,132.35,17.78
2018-01-01T05:00:00+00:00,2018-01-01T06:00:00,SYSTEM,179.99,24.18
2018-01-01T06:00:00+00:00,2018-01-01T07:00:00,DE,-565.886849,-76.01
2018-01-01T06:00:00+00:00,2018-01-01T07:00:00,DK1,132.5,17.8
2018-01-01T06:00:00+00:00,2018-01-01T07:00:00,DK2,132.5,17.8
2018-01-01T06:00:00+00:00,2018-01-01T07:00:00,NO2,191.38,25.71
2018-01-01T06:00:00+00:00,2018-01-01T07:00:00,SE3,132.5,17.8
2018-01-01T06:00:00+00:00,2018-01-01T07:00:00,SE4,132.5,17.8
2018-01-01T06:00:00+00:00,2018-01-01T07:00:00,SYSTEM,180.81,24.29
2018-01-01T07:00:00+00:00,2018-01-01T08:00:00,DE,-531.938105,-71.45
2018-01-01T07:00:00+00:00,2018-01-01T08:00:00,DK1,147.09,19.76
2018-01-01T07:00:00+00:00,2018-01-01T08:00:00,DK2,147.09,19.76
2018-01-01T07:00:00+00:00,2018-01-01T08:00:00,NO2,189.67,25.48
2018-01-01T07:00:00+00:00,2018-01-01T08:00:00,SE3,147.09,19.76
2018-01-01T07:00:00+00:00,2018-01-01T08:00:00,SE4,147.09,19.76
2018-01-01T07:00:00+00:00,2018-01-01T08:00:00,SYSTEM,179.77,24.15
2018-01-01T08:00:00+00:00,2018-01-01T09:00:00,DE,-497.914912,-66.88
2018-01-01T08:00:00+00:00,2018-01-01T09:00:00,DK1,154.31,20.73
2018-01-01T08:00:00+00:00,2018-01-01T09:00:00,DK2,154.31,20.73
2018-01-01T08:00:00+00:00,2018-01-01T09:00:00,NO2,190.12,25.54
2018-01-01T08:00:00+00:00,2018-01-01T09:00:00,SE3,154.31,20.73
2018-01-01T08:00:00+00:00,2018-01-01T09:00:00,SE4,154.31,20.73
2018-01-01T08:00:00+00:00,2018-01-01T09:00:00,SYSTEM,180.59,24.26
2018-01-01T09:00:00+00:00,2018-01-01T10:00:00,DE,-461.5838,-62
2018-01-01T09:00:00+00:00,2018-01-01T10:00:00,DK1,184.31,24.76
2018-01-01T09:00:00+00:00,2018-01-01T10:00:00,DK2,184.31,24.76
2018-01-01T09:00:00+00:00,2018-01-01T10:00:00,NO2,194.06,26.07
2018-01-01T09:00:00+00:00,2018-01-01T10:00:00,SE3,184.31,24.76
2018-01-01T09:00:00+00:00,2018-01-01T10:00:00,SE4,184.31,24.76
2018-01-01T09:00:00+00:00,2018-01-01T10:00:00,SYSTEM,192.35,25.84
2018-01-01T10:00:00+00:00,2018-01-01T11:00:00,DE,-417.509992,-56.08
2018-01-01T10:00:00+00:00,2018-01-01T11:00:00,DK1,191.16,25.68
2018-01-01T10:00:00+00:00,2018-01-01T11:00:00,DK2,191.16,25.68
2018-01-01T10:00:00+00:00,2018-01-01T11:00:00,NO2,194.43,26.12
2018-01-01T10:00:00+00:00,2018-01-01T11:00:00,SE3,191.16,25.68
2018-01-01T10:00:00+00:00,2018-01-01T11:00:00,SE4,191.16,25.68
